time,day8_1,day8_2,day8_3,day8_4,day8_5,day8_6
0,2000,2000,2000,2000,2000,2000
24,6366,6263,4476,5373,5488,5552
30,8462,7981,7549,7059,7105,6714
36,9953,9325,9016,8402,8544,8157
42,10884,10663,10634,9582,9772,9148
48,12172,12044,11838,10853,11231,10509
54,14780,14636,14399,13272,13654,12856
60,16722,17025,16824,15255,15994,14858
66,19745,19915,19432,17857,18712,17558
72,22715,23268,22769,20992,21858,20630
78,26139,26783,26046,24109,25181,23436
84,30408,31525,30244,27871,29549,27486
90,35629,36980,35482,33068,34521,32234
96,43014,44784,42535,39744,41644,38940
102,50568,52996,50586,47249,49861,45559
108,60654,63331,60492,56828,59960,54780
114,71704,74547,71925,67578,70832,65120
120,82989,85132,83133,79682,81823,75646
126,92968,94823,93535,91214,92021,86807
132,99553,100903,100725,100098,98739,94600
138,103621,104021,104767,106289,103003,100669
144,104463,104224,105696,108538,103961,102752
150,104632,104462,105055,108039,103125,103476
156,104494,103578,105561,108165,103465,103750
162,104158,103402,104775,107512,103961,103857
168,107795,106986,108554,110499,108823,107820
174,110517,109129,111505,113570,112104,111270
180,111714,110382,112150,114154,113089,112143
186,112235,110956,113590,114543,113160,112469
192,112335,112096,113979,114754,114386,112968