ID,alpha,epsilon,xmax
seed_1500_A_01,1.321713871,0.006645841,50223.41834
seed_1500_A_02,1.179033705,0.005396888,50606.17711
seed_1500_A_03,1.193273242,0.005304724,48965.78239
seed_1500_A_04,1.099292295,0.006556803,52273.91174
seed_1500_A_05,1.285830236,0.004958089,52410.6113
seed_1500_A_06,1.271021117,0.005609484,50059.37887
seed_1500_B_01,1.132612813,0.004496872,48200.26486
seed_1500_B_02,1.069389266,0.005372852,50196.07843
seed_1500_B_03,1.113247042,0.005824523,51590.41394
seed_1500_B_04,1.122929927,0.005663288,50305.43808
seed_1500_B_05,1.11637974,0.006273708,50223.41834
seed_1500_B_06,1.057997636,0.007146473,48774.40301
seed_1500_C_01,1.060560753,0.004764223,51781.79333
seed_1500_C_02,1.152263374,0.00508431,49239.18151
seed_1500_C_03,1.112107879,0.004707681,47817.50609
seed_1500_C_04,1.065686986,0.004544982,50141.39861
seed_1500_C_05,1.117803694,0.005714774,50414.79773
seed_1500_C_06,1.018126931,0.006387963,47872.18591
seed_3000_A_01,0.998191579,0.005364457,53176.12884
seed_3000_A_02,1.012288721,0.005094882,52711.35034
seed_3000_A_03,0.95319464,0.005199386,52601.99069
seed_3000_A_04,0.93966708,0.004950866,52984.74946
seed_3000_A_05,0.942514987,0.006193875,51563.07403
seed_3000_A_06,1.182308799,0.00477981,51781.79333
seed_3000_B_01,0.896521281,0.004809517,53941.64638
seed_3000_B_02,1.092457317,0.005307748,51508.39421
seed_3000_B_03,0.954476199,0.004727737,49922.67931
seed_3000_B_04,0.945932476,0.004456459,52383.27139
seed_3000_B_05,0.929414613,0.003094743,50906.91614
seed_3000_B_06,0.955757757,0.003944417,50114.0587
seed_3000_C_01,0.906204166,0.00489697,55253.96215
seed_3000_C_02,1.016987768,0.00444703,53312.8284
seed_3000_C_03,1.016845373,0.00372035,50660.85694
seed_3000_C_04,0.874307602,0.003170394,50770.21658
seed_3000_C_05,0.864055135,0.00415759,53558.88761
seed_3000_C_06,0.917880587,0.002769098,48008.88547
seed_4500_A_01,0.968953062,0.004381782,55910.12004
seed_4500_A_02,0.936297056,0.004344675,53695.58717
seed_4500_A_03,0.945315429,0.00490086,53531.5477
seed_4500_A_04,0.968098689,0.005311763,53285.48849
seed_4500_A_05,0.928797566,0.005043301,53968.98629
seed_4500_A_06,0.960029618,0.00549754,52437.95122
seed_4500_B_01,0.867187834,0.002711656,54488.44462
seed_4500_B_02,0.894527746,0.003033504,52191.89201
seed_4500_B_03,0.861302158,0.004094002,53859.62664
seed_4500_B_04,0.818773406,0.004469869,52766.03016
seed_4500_B_05,0.877535231,0.004875299,57003.71652
seed_4500_B_06,0.923576402,0.004514286,52437.95122
seed_4500_C_01,0.890730536,0.003175361,53996.3262
seed_4500_C_02,0.662138494,0.0023769,51098.29553
seed_4500_C_03,0.549456287,0.005413067,52246.57183
seed_4500_C_04,0.855131692,0.004269561,53531.5477
seed_4500_C_05,0.784408656,0.006595394,55691.40074
seed_4500_C_06,0.629007836,0.007387694,54652.48409